,Working_Year,Designation,Experience,Experience Level ,Employment_Status,Employment Type ,Salary_In_IDR,Employee_Location,Employee Location,Employee Long,Employee Lat,Company_Location,Company Location ,Company Long ,Company Lat,Company_Size,Company Size ,Remote_Working_Ratio,Remote_Work_Category
1,2020,Data Scientist,MI,Mid ,FT,Full-time,"1,175,551,456.32",DE,Germany,-55,-10,DE,Germany,-55,-10,L,Large ,0,On-site
2,2020,Machine Learning Scientist,SE,Senior ,FT,Full-time,"3,828,534,234.20",JP,Japan,36,31,JP,Japan,36,31,S,Small,0,On-site
3,2020,Big Data Engineer,SE,Senior ,FT,Full-time,"1,605,392,724.10",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,M,Medium ,50,Hybrid
4,2020,Product Data Analyst,MI,Mid ,FT,Full-time,"294,502,633.40",HN,Honduras,-59,5,HN,Honduras,-59,5,S,Small,0,On-site
5,2020,Machine Learning Engineer,SE,Senior ,FT,Full-time,"2,208,769,750.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,50,Hybrid
6,2020,Data Analyst,EN,Entry ,FT,Full-time,"1,060,209,480.24",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
7,2020,Lead Data Scientist,SE,Senior ,FT,Full-time,"2,797,775,017.30",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
8,2020,Data Scientist,MI,Mid ,FT,Full-time,"526,202,564.96",HU,Hungary,20,47,HU,Hungary,20,47,L,Large ,50,Hybrid
9,2020,Business Data Analyst,MI,Mid ,FT,Full-time,"1,987,892,867.98",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
10,2020,Lead Data Engineer,SE,Senior ,FT,Full-time,"1,840,641,551.28",NZ,New Zealand,-61.1333,13.8833,NZ,New Zealand,-61.1333,13.8833,S,Small,50,Hybrid
11,2020,Data Scientist,EN,Entry ,FT,Full-time,"755,708,425.16",FR,France,2,46,FR,France,2,46,S,Small,0,On-site
12,2020,Data Scientist,MI,Mid ,FT,Full-time,"596,088,068.18",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,0,On-site
13,2020,Data Scientist,EN,Entry ,FT,Full-time,"587,768,325.76",FR,France,2,46,FR,France,2,46,M,Medium ,0,On-site
14,2020,Lead Data Analyst,MI,Mid ,FT,Full-time,"1,281,086,547.82",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
15,2020,Data Analyst,MI,Mid ,FT,Full-time,"1,251,636,284.48",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
16,2020,Data Analyst,MI,Mid ,FT,Full-time,"117,801,053.36",PK,Pakistan,-61.1333,13.8833,PK,Pakistan,-61.1333,13.8833,L,Large ,50,Hybrid
17,2020,Data Engineer,EN,Entry ,FT,Full-time,"613,876,035.38",JP,Japan,36,31,JP,Japan,36,31,S,Small,100,Remote 
18,2020,Big Data Engineer,SE,Senior ,FT,Full-time,"1,679,357,134.78",PL,Poland,-61.1333,13.8833,GB,United Kingdom,11.75,-1,S,Small,100,Remote 
19,2020,Data Science Consultant,EN,Entry ,FT,Full-time,"84,036,301.18",IN,India,34.75,31.5,IN,India,34.75,31.5,M,Medium ,50,Hybrid
20,2020,Lead Data Engineer,MI,Mid ,FT,Full-time,"824,607,373.52",PT,Portugal,-56.3333,46.8333,US,United States,166.6,19.2833,M,Medium ,100,Remote 
21,2020,Machine Learning Engineer,MI,Mid ,FT,Full-time,"638,054,679.56",CN,China,-55,-10,CN,China,-55,-10,M,Medium ,0,On-site
22,2020,Product Data Analyst,MI,Mid ,FT,Full-time,"89,410,998.76",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,100,Remote 
23,2020,Data Engineer,SE,Senior ,FT,Full-time,"705,318,992.94",GR,Greece,-10,11,GR,Greece,-10,11,L,Large ,50,Hybrid
24,2020,BI Data Analyst,MI,Mid ,FT,Full-time,"1,443,062,903.66",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,0,On-site
25,2020,Lead Data Scientist,MI,Mid ,FT,Full-time,"1,693,390,234.58",AE,United Arab Emirates,54,24,AE,United Arab Emirates,54,24,L,Large ,0,On-site
26,2020,Director of Data Science,EX,Executive ,FT,Full-time,"4,785,667,885.28",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
27,2020,Research Scientist,EN,Entry ,FT,Full-time,"618,455,530.14",NL,Netherlands,-61.1333,13.8833,NL,Netherlands,-61.1333,13.8833,L,Large ,50,Hybrid
28,2020,Data Engineer,SE,Senior ,FT,Full-time,"493,453,977.24",MX,Mexico,-61.1333,13.8833,MX,Mexico,-61.1333,13.8833,S,Small,0,On-site
29,2020,Business Data Analyst,EN,Entry ,CT,Contract,"1,472,513,167.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
30,2020,Machine Learning Manager,SE,Senior ,FT,Full-time,"1,724,371,869.42",CA,Canada,-55,-10,CA,Canada,-55,-10,L,Large ,50,Hybrid
31,2020,Data Engineering Manager,MI,Mid ,FT,Full-time,"873,244,472.60",DE,Germany,-55,-10,DE,Germany,-55,-10,S,Small,100,Remote 
32,2020,Big Data Engineer,EN,Entry ,FT,Full-time,"1,030,759,216.90",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
33,2020,Data Scientist,SE,Senior ,FT,Full-time,"1,007,611,356.92",GR,Greece,-10,11,US,United States,166.6,19.2833,L,Large ,100,Remote 
